"Words","Freq"
"in the",69
"of the",54
"to the",35
"for the",33
"on the",26
"to be",25
"at the",19
"and the",18
"and i",17
"in a",17
"there are",17
"it is",15
"to do",15
"was a",15
"it was",14
"and a",13
"by the",13
"is the",13
"thanks for",13
"with a",13
"of a",12
"out of",12
"the first",12
"from the",11
"more than",11
"to get",11
"to make",11
"will be",11
"with the",11
"a lot",10
"going to",10
"is not",10
"its not",10
"lot of",10
"that the",10
"and then",9
"as the",9
"have a",9
"i had",9
"i love",9
"i was",9
"is a",9
"on my",9
"one of",9
"the best",9
"to check",9
"be a",8
"have been",8
"have to",8
"should be",8
"that i",8
"that was",8
"up to",8
"and im",7
"and they",7
"could be",7
"for a",7
"for me",7
"had been",7
"he said",7
"he was",7
"i have",7
"i want",7
"in this",7
"it would",7
"kind of",7
"that is",7
"the bigger",7
"want to",7
"you are",7
"all the",6
"as a",6
"had a",6
"i hate",6
"like a",6
"me to",6
"need to",6
"of us",6
"the end",6
"the game",6
"the last",6
"the next",6
"to a",6
"would be",6
"a few",5
"a good",5
"a great",5
"a new",5
"a series",5
"all of",5
"are in",5
"are you",5
"before the",5
"but i",5
"but it",5
"can be",5
"deal with",5
"had the",5
"has been",5
"i know",5
"if i",5
"is it",5
"is that",5
"it will",5
"last night",5
"listening to",5
"make the",5
"of it",5
"of you",5
"on a",5
"so much",5
"the country",5
"the new",5
"the other",5
"the time",5
"the two",5
"the world",5
"there is",5
"through the",5
"time and",5
"to go",5
"to have",5
"to play",5
"we have",5
"what is",5
"who has",5
"you have",5
"a half",4
"a life",4
"able to",4
"all day",4
"and her",4
"and its",4
"and that",4
"are still",4
"as it",4
"at a",4
"at home",4
"at least",4
"based on",4
"be the",4
"cant wait",4
"conference is",4
"decided to",4
"disparities in",4
"do you",4
"end of",4
"find a",4
"for more",4
"for progress",4
"got it",4
"had to",4
"has the",4
"having a",4
"hey hey",4
"house and",4
"i cant",4
"i decided",4
"i dont",4
"if you",4
"is going",4
"is your",4
"it at",4
"it looks",4
"its like",4
"make it",4
"makes me",4
"making it",4
"much more",4
"not just",4
"not the",4
"of my",4
"of your",4
"on any",4
"on his",4
"opportunity to",4
"over there",4
"partners for",4
"said he",4
"sure that",4
"that would",4
"that you",4
"the browns",4
"the federal",4
"the interview",4
"the most",4
"the one",4
"the same",4
"the second",4
"the table",4
"the u",4
"the way",4
"think of",4
"this is",4
"this one",4
"to his",4
"to improve",4
"to see",4
"to support",4
"to take",4
"tonight at",4
"up and",4
"up for",4
"up in",4
"us about",4
"way to",4
"we are",4
"we will",4
"what the",4
"what was",4
"when the",4
"who is",4
"would have",4
"you do",4
"a contract",3
"a free",3
"a hour",3
"a huge",3
"a team",3
"a time",3
"a toe",3
"a very",3
"a victory",3
"about in",3
"about the",3
"added an",3
"addresses complex",3
"advancing in",3
"after the",3
"against the",3
"alrightno one",3
"am i",3
"amplifies its",3
"an extra",3
"and get",3
"and had",3
"and he",3
"and leaves",3
"and tattoos",3
"and todays",3
"and we",3
"and when",3
"annapolis goes",3
"any clues",3
"anything intriguing",3
"are a",3
"are going",3
"are more",3
"are not",3
"as an",3
"as cherries",3
"as much",3
"at all",3
"at night",3
"at times",3
"at walmart",3
"at zeitgeist",3
"backs and",3
"be alrightno",3
"be fun",3
"be using",3
"because there",3
"before i",3
"being a",3
"best movie",3
"bigger person",3
"birthday lesson",3
"brand new",3
"break my",3
"browns draft",3
"but a",3
"but its",3
"but the",3
"but to",3
"by cady",3
"cady groves",3
"can i",3
"can keep",3
"can say",3
"cause everythings",3
"check before",3
"check out",3
"cherries sunburn",3
"class member",3
"class today",3
"clues on",3
"collaboration addresses",3
"complex problems",3
"congratulations to",3
"continue to",3
"create and",3
"d on",3
"dallas slapped",3
"defeated the",3
"definitely be",3
"did not",3
"difficult to",3
"do the",3
"do what",3
"dont break",3
"dont worry",3
"draft next",3
"dreams last",3
"during the",3
"effectively because",3
"even had",3
"everythings goin",3
"extra d",3
"fact that",3
"find that",3
"first two",3
"for advancing",3
"for each",3
"for my",3
"for these",3
"fridaytheth is",3
"from a",3
"from my",3
"get n",3
"get out",3
"get to",3
"ghost hunters",3
"girl by",3
"goes into",3
"goin be",3
"going over",3
"good a",3
"goodness for",3
"gorgeous btw",3
"got to",3
"greatness that",3
"group of",3
"hard enough",3
"hate him",3
"have it",3
"have no",3
"he did",3
"he has",3
"he is",3
"he told",3
"hold in",3
"hunters makes",3
"i added",3
"i am",3
"i did",3
"i feel",3
"i feeling",3
"i finally",3
"i got",3
"i lost",3
"i rework",3
"i right",3
"i spy",3
"i started",3
"i think",3
"if there",3
"ill definitely",3
"im still",3
"in class",3
"in dc",3
"in his",3
"in my",3
"in sparring",3
"interview he",3
"into loyolablakefields",3
"intrigued by",3
"intriguing going",3
"is easy",3
"is important",3
"it now",3
"its a",3
"its greatness",3
"its the",3
"just amplifies",3
"just wanted",3
"keep talkingthy",3
"l could",3
"last year",3
"late night",3
"leaves with",3
"let peace",3
"like that",3
"likei dont",3
"listen to",3
"little girl",3
"lost pounds",3
"love it",3
"loyolablakefields house",3
"made it",3
"made my",3
"make sure",3
"maryland is",3
"marys annapolis",3
"me and",3
"me cry",3
"me on",3
"mind walking",3
"more effectively",3
"more like",3
"more perspectives",3
"movie ever",3
"my red",3
"n way",3
"needs relief",3
"night walks",3
"no idea",3
"no its",3
"of all",3
"of just",3
"of other",3
"of people",3
"of school",3
"of this",3
"on who",3
"on your",3
"one get",3
"our new",3
"out and",3
"out the",3
"over the",3
"oy vey",3
"part of",3
"peace find",3
"people can",3
"perspectives in",3
"poor needs",3
"pounds sweating",3
"problems more",3
"quick birthday",3
"quite a",3
"red as",3
"religion to",3
"rework it",3
"roomgary mangiofico",3
"rt congratulations",3
"said the",3
"say what",3
"seems to",3
