"Words","Freq"
"a lot of",10
"thanks for the",10
"out of the",6
"and a half",4
"going to be",4
"is going to",4
"is the best",4
"it is a",4
"it was a",4
"need to do",4
"one of the",4
"partners for progress",4
"the end of",4
"a toe hold",3
"about in class",3
"added an extra",3
"addresses complex problems",3
"advancing in the",3
"alrightno one get",3
"am i right",3
"amplifies its greatness",3
"an extra d",3
"and leaves with",3
"and todays date",3
"annapolis goes into",3
"any clues on",3
"anything intriguing going",3
"are going to",3
"are more perspectives",3
"are still religion",3
"as cherries sunburn",3
"at zeitgeist coffee",3
"backs and tattoos",3
"be alrightno one",3
"be the bigger",3
"be using some",3
"because there are",3
"before i rework",3
"best movie ever",3
"browns draft next",3
"by cady groves",3
"can keep talkingthy",3
"can say what",3
"cant wait till",3
"cause everythings goin",3
"check before i",3
"clues on who",3
"collaboration addresses complex",3
"complex problems more",3
"congratulations to the",3
"could be the",3
"d on the",3
"dallas slapped me",3
"defeated the sens",3
"definitely be using",3
"dont break my",3
"dont worry cause",3
"dreams last night",3
"effectively because there",3
"end of just",3
"even had a",3
"everythings goin be",3
"extra d on",3
"fact that i",3
"find a toe",3
"for advancing in",3
"for the follow",3
"for the quick",3
"for the retweet",3
"fridaytheth is the",3
"from the original",3
"get n way",3
"get out of",3
"ghost hunters makes",3
"girl by cady",3
"goes into loyolablakefields",3
"goin be alrightno",3
"going over there",3
"goodness for these",3
"got it at",3
"greatness that much",3
"had a hour",3
"had the weirdest",3
"he said he",3
"he told us",3
"hold in this",3
"house and leaves",3
"hunters makes me",3
"i added an",3
"i had a",3
"i had the",3
"i hate him",3
"i lost pounds",3
"i love it",3
"i rework it",3
"i spy at",3
"ill definitely be",3
"in a series",3
"in class member",3
"in sparring class",3
"in the country",3
"in the roomgary",3
"in the stanleycup",3
"in this tumultuous",3
"interview he told",3
"into loyolablakefields house",3
"intriguing going over",3
"it at walmart",3
"it is easy",3
"its greatness that",3
"its the interview",3
"just amplifies its",3
"just wanted to",3
"keep talkingthy can",3
"l could be",3
"late night walks",3
"leaves with a",3
"let peace find",3
"likei dont worry",3
"little girl by",3
"lost pounds sweating",3
"loyolablakefields house and",3
"make the situation",3
"makes me cry",3
"marys annapolis goes",3
"me on my",3
"more effectively because",3
"more perspectives in",3
"my red as",3
"n way i",3
"night walks are",3
"no its the",3
"of just amplifies",3
"on my red",3
"on the end",3
"on who the",3
"one get n",3
"peace find a",3
"people can keep",3
"perspectives in the",3
"poor needs relief",3
"pounds sweating in",3
"problems more effectively",3
"quick birthday lesson",3
"red as cherries",3
"religion to me",3
"rt congratulations to",3
"said he was",3
"say what thy",3
"sens in a",3
"should be fun",3
"slapped me on",3
"snap backs and",3
"sparring class today",3
"spy at zeitgeist",3
"st marys annapolis",3
"still religion to",3
"sweating in sparring",3
"talkingthy can say",3
"thank goodness for",3
"that i added",3
"that much more",3
"that was a",3
"the best movie",3
"the bigger person",3
"the browns draft",3
"the fact that",3
"the first two",3
"the for advancing",3
"the interview he",3
"the poor needs",3
"the quick birthday",3
"the roomgary mangiofico",3
"the sens in",3
"the situation worse",3
"the stanleycup playoffs",3
"the weirdest dreams",3
"there are more",3
"these late night",3
"they defeated the",3
"this little girl",3
"this tumultuous world",3
"thy likei dont",3
"to be a",3
"to check before",3
"to do what",3
"to the for",3
"toe hold in",3
"told us about",3
"tonight should be",3
"up in the",3
"us about in",3
"using some edmundson",3
"walks are still",3
"wanted to check",3
"way i feeling",3
"weirdest dreams last",3
"what thy likei",3
"who the browns",3
"with a victory",3
"worry cause everythings",3
"your gorgeous btw",3
"a bold green",2
"a brand new",2
"a broken leg",2
"a class a",2
"a conference with",2
"a consortium of",2
"a contract last",2
"a free movie",2
"a great stite",2
"a half hours",2
"a high school",2
"a laws impact",2
"a life and",2
"a longterm grant",2
"a mentoring role",2
"a mets fan",2
"a new phone",2
"a new television",2
"a parent attends",2
"a parents most",2
"a pich well",2
"a prayer for",2
"a rhetorical question",2
"a series of",2
"a smoking in",2
"a something year",2
"a sparkly one",2
"a standing ovation",2
"a sucker for",2
"a teacher or",2
"a total of",2
"a very nice",2
"a yearplus to",2
"academic achievement and",2
"achievement and disparate",2
"actin like that",2
"action committee partners",2
"actually pay to",2
"adele gets off",2
"administering of school",2
"advocates for children",2
"after the blue",2
"against established systems",2
"agree to a",2
"alaimo group of",2
"all but impossible",2
"all day long",2
"all of us",2
"almost up to",2
"also good a",2
"although this one",2
"amazing powers of",2
"an excited teen",2
"an issue serious",2
"ancoras acting director",2
"and a bold",2
"and being a",2
"and disparate administering",2
"and financial information",2
"and fun as",2
"and get out",2
"and happy derby",2
"and he said",2
"and her daughters",2
"and i had",2
"and im a",2
"and im still",2
"and images and",2
"and implementation in",2
"and in making",2
"and inkind contributions",2
"and its not",2
"and lowbirthweight babies",2
"and medical costs",2
"and neinas was",2
"and not listening",2
"and one of",2
"and patient care",2
"and performed his",2
"and son patrick",2
"and suggest improvements",2
"and tebowing a",2
"and thank everyone",2
"and that is",2
"and the bud",2
"and the chimpanzees",2
"and then batum",2
"and then take",2
"and they need",2
"and when its",2
"and writings with",2
"and youth at",2
"apparently its not",2
"appreciate you following",2
"are educational disparities",2
"are health disparities",2
"are in cardinals",2
"are literally starting",2
"are you visiting",2
"as edgy and",2
"as it was",2
"as much as",2
"as the first",2
"as the interior",2
"astroturf collegiate bowl",2
"at la carreta",2
"at the den",2
"at the wynn",2
"at wrigley field",2
"attempting to improve",2
"attends a conference",2
"automotive production in",2
"average gossip and",2
"bag wondering if",2
"batum rose to",2
"be at the",2
"be done tastefully",2
"been making cars",2
"before carrying any",2
"before sat nfl",2
"before the game",2
"being a class",2
"being chauffeured in",2
"best elbowthrowing impression",2
"bestfriend just got",2
"birthday you have",2
"blue wall was",2
"bold green replaced",2
"born on april",2
"born weeks early",2
"both direct and",2
"brand new range",2
"brighten up the",2
"brother who is",2
"bud light rescue",2
"buffalo we do",2
"but a parents",2
"but campaign finance",2
"but he stressed",2
"but i decided",2
"but impossible for",2
"but its not",2
"by the one",2
"by the opportunity",2
"cake with cheese",2
"called on cps",2
"campaign finance records",2
"can go ten",2
"can i meet",2
"can to feel",2
"cant hate on",2
"carreta is packed",2
"carrying any bill",2
"cars there since",2
"cause that would",2
"cell phone bill",2
"chairs were painted",2
"chauffeured in a",2
"cheap he said",2
"check it out",2
"check my walkin",2
"check on whether",2
"check out redesign",2
"checkin wins a",2
"checkins so far",2
"cheese in front",2
"children and youth",2
"children that school",2
"childwellbeing indicators show",2
"chocolate ice cream",2
"cinco de mayo",2
"clear to their",2
"color as the",2
"comad with the",2
"come with riding",2
"committee partners for",2
"conference is reportedly",2
"conference is rockin",2
"conference with a",2
"consignment in royal",2
"consortium of other",2
"contract last fall",2
"contribution typically occurs",2
"contributions to mayor",2
"cool experiencing work",2
"correct problems to",2
"costs that come",2
"cps to correct",2
"cream color as",2
"create and inspire",2
"creation on twitter",2
"crying aftr mins",2
"cufon testing and",2
"dallas tonight at",2
"daughters are in",2
"day to listen",2
"de mayo fiesta",2
"dead will be",2
"deal with espn",2
"decided to brighten",2
"definitely not make",2
"detonated in a",2
"die of old",2
"difficult to predict",2
"dining room table",2
"direct and inkind",2
"discipline policies such",2
"disparate administering of",2
"disparities from infancy",2
"disparities in academic",2
"disparities in infant",2
"dm that was",2
"do appreciate you",2
"do the ready",2
"do u know",2
"do what we",2
"do you do",2
"dog weego was",2
"doing some cufon",2
"donated a total",2
"done and in",2
"drawn dead will",2
"dugout and being",2
"dyall think of",2
"easy to check",2
"edgy and fun",2
"educational disparities in",2
"elbows up and",2
"elbowthrowing impression of",2
"elsewhere in ensuring",2
"employees donated a",2
"end zone before",2
"enough for me",2
"enough to merit",2
"ensuring homework gets",2
"erin and son",2
"established systems and",2
"evaluate and suggest",2
"every th checkin",2
"everyone of you",2
"everyone say a",2
"exceptional create and",2
"experiencing work through",2
"eyes of an",2
"fall to evaluate",2
"fallout from the",2
"favorite tv mom",2
"field with his",2
"fiesta at la",2
"finance records released",2
"find that i",2
"first two incarnations",2
"five chairs were",2
"following poised creation",2
"fontbonne partners with",2
"for a contract",2
"for children and",2
"for having a",2
"for me to",2
"for more information",2
"for most of",2
"for my brother",2
"for progress in",2
"for progress reported",2
"for schools to",2
"for the etrade",2
"for the last",2
"for the most",2
"fouc dyall think",2
"free movie ticket",2
"from infancy to",2
"from my account",2
"front of it",2
"fun as the",2
"game and tebowing",2
"game we lost",2
"gave more than",2
"george kottaras on",2
"get some sustainable",2
"gets done and",2
"gets off a",2
"girlfriends parents pay",2
"given the increased",2
"giving out free",2
"go ten minutes",2
"going through rnrchi",2
"going to take",2
"good a smoking",2
"gossip and complain",2
"got hackeddo not",2
"got hit on",2
"grant of media",2
"green replaced the",2
"grew up a",2
"group of mount",2
"hackeddo not open",2
"had been making",2
"had in attendance",2
"had to close",2
"hahahahhahah u just",2
"hanging on his",2
"happy derby day",2
"hard enough for",2
"harried office worker",2
"has taken the",2
"has the bigger",2
"hashtag is sntck",2
"hate on the",2
"have amazing powers",2
"have no idea",2
"have to deal",2
"havent seen super",2
"having a life",2
"he hit me",2
"he or she",2
"he stressed it",2
"he was intrigued",2
"he wasnt home",2
"health disparities in",2
"heat good game",2
"her cell phone",2
"her daughters are",2
"hey giants fans",2
"hey hey hey",2
"high school student",2
"his best elbowthrowing",2
"his elbows up",2
"his victory in",2
"his wife and",2
"hit me hard",2
"hit on my",2
"holly was up",2
"home consignment in",2
"home in the",2
"homework gets done",2
"hours at school",2
"how many times",2
"how ya feeling",2
"humidity is not",2
"i cant hate",2
"i decided to",2
"i did not",2
"i got hackeddo",2
"i grew up",2
"i hate cheesecake",2
"i just think",2
"i liked thecareerbuilder",2
"i love my",2
"i meet chaaaa",2
"i promise you",2
"i started a",2
"i want a",2
"i want to",2
"i was born",2
"ideal world in",2
"if people actually",2
"if your girlfriends",2
"im a sucker",2
"im almost up",2
"im still crying",2
"images and then",2
"implementation in wordpress",2
"important our new",2
"impossible for schools",2
"impression of the",2
"improve employee accountability",2
"improvements to trenton",2
"in a brand",2
"in academic achievement",2
"in attendance tonight",2
"in both direct",2
"in cardinals jerseys",2
"in dallas tonight",2
"in early june",2
"in ensuring homework",2
"in front of",2
"in infant mortality",2
"in light of",2
"in making it",2
"in my woo",2
"in other trading",2
"in royal oak",2
"in terms of",2
"in the center",2
"in the dm",2
"in the dugout",2
"in the end",2
"in the life",2
"in the mayoral",2
"in the s",2
"in the two",2
"in words and",2
"increased risks and",2
"indicators show disparities",2
"infancy to adulthood",2
"infant mortality and",2
"inkind contributions to",2
"intrigued by the",2
"is against established",2
"is at wrigley",2
"is attempting to",2
"is easy to",2
"is it absolutely",2
"is it an",2
"is not sitting",2
"is not the",2
"is one of",2
"is reportedly working",2
"is sntck please",2
"is that a",2
"is that kind",2
"is the wealthiest",2
"is your favorite",2
"issue serious enough",2
"it absolutely necessary",2
"it all but",2
"it an issue",2
"it as an",2
"it clear to",2
"it definitely not",2
"it gave more",2
"it is against",2
"it is going",2
"it needs to",2
"it puts the",2
"it was cool",2
"it will take",2
"it would be",2
"it would die",2
"it would have",2
"its cake with",2
"its like stalking",2
"its not a",2
"its not new",2
"its not the",2
"its often difficult",2
"jail i see",2
"just by the",2
"just got hit",2
"just made my",2
"just think that",2
"keith was also",2
"kind of place",2
"know whats creepily",2
"kottaras on a",2
"la carreta is",2
"ladybugs lurv it",2
"last fall to",2
"leading up to",2
"league that would",2
"left at home",2
"legislators should think",2
"life and not",2
"life of a",2
"light rescue dog",2
"like in dc",2
"like stalking them",2
"like that towards",2
"link in the",2
"listen to us",2
"listening to music",2
"listening to the",2
"literally starting with",2
"little stage puppet",2
"longterm grant of",2
"lost i cant",2
"louis plant had",2
"mack in the",2
"made my day",2
"make it all",2
"make it real",2
"make sure that",2
"making cars there",2
"making it clear",2
"making it more",2
"many times have",2
"marlins wish they",2
"maryland is the",2
"mass automotive production",2
"mayo fiesta at",2
"mayor tony mack",2
"mayoral runoff election",2
"me at all",2
"me hard enough",2
"me to really",2
"media rights to",2
"medical costs that",2
"members to agree",2
"mentoring role in",2
"merit their attention",2
"mile training run",2
"mind walking george",2
"minutes without hanging",2
"more like sarkohnohedidntzy",2
"more than in",2
"more than percent",2
"mortality and lowbirthweight",2
"most valuable contribution",2
"mount holly was",2
"much love hp",2
"music all day",2
"mustard yellow on",2
"my a something",2
"my brother who",2
"my day d",2
"my walkin soundtrack",2
"need it now",2
"needs to be",2
"neinas was pushing",2
"new hashtag is",2
"new phone case",2
"new range rover",2
"new television deal",2
"nfl astroturf collegiate",2
"no idea what",2
"north york blues",2
"not just by",2
"not listening to",2
"not make the",2
"not open that",2
"not sitting well",2
"not the point",2
"occurs elsewhere in",2
"of a high",2
"of all the",2
"of an excited",2
"of mass automotive",2
"of media rights",2
"of mount holly",2
"of old age",2
"of other private",2
"of school discipline",2
"of the first",2
"of the five",2
"of the strike",2
"of the suns",2
"of the way",2
"of the workshop",2
"of to the",2
"of twitter jail",2
"of you who",2
"of your day",2
"off a standing",2
"office worker and",2
"often difficult to",2
"okay so apparently",2
"on a pich",2
"on any given",2
"on cps to",2
"on his arm",2
"on my a",2
"on the heat",2
"on the table",2
"on whether a",2
"one of them",2
"one whos left",2
"one yesterday wasnt",2
"onethingyoushouldntdo spam someone",2
"onset of mass",2
"open that link",2
"opportunity to play",2
"or performs volunteer",2
"org for more",2
"other private universities",2
"our new hashtag",2
"out free shirts",2
"out of twitter",2
"out of your",2
"out redesign home",2
"ovation right away",2
"paint your ideal",2
"painted i decided",2
"painted the same",2
"parent attends a",2
"parents most valuable",2
"parents pay her",2
"part of the",2
"partners with a",2
"pay her cell",2
"pay to do",2
"people actually pay",2
"perfectly in the",2
"performed his best",2
"performs volunteer hours",2
"personal and financial",2
"pich well out",2
"plant had to",2
"play a mentoring",2
"play in dallas",2
"players were tebowing",2
"please tweet your",2
"poised creation on",2
"policies such as",2
"political action committee",2
"powers of visualization",2
"prayer for my",2
"praying in the",2
"predict a laws",2
"preferably a sparkly",2
"pretty sure that",2
"problems to improve",2
"production in the",2
"progress in early",2
"progress reported it",2
"promise you can",2
"pushing members to",2
"puts the woo",2
"quite a lot",2
"range rover w",2
"ready to run",2
"really feel it",2
"records released this",2
"redesign home consignment",2
"released this week",2
"reminder we play",2
"replaced the mustard",2
"reported it gave",2
"reportedly working toward",2
"rescue dog weego",2
"resources and writings",2
"riding without a",2
"rights to the",2
"risks and medical",2
"rnrchi bag wondering",2
"role in the",2
"room table and",2
"rose to his",2
"rover w and",2
"rt important our",2
"run mile training",2
"runoff election june",2
"said the state",2
"same cream color",2
"sat nfl astroturf",2
"say a prayer",2
"school discipline policies",2
"school is important",2
"schools to bolt",2
"see advocates for",2
"see yall there",2
"sent from my",2
"serious enough to",2
"she and her",2
"she has been",2
"should think twice",2
"show disparities from",2
"show the two",2
"since the onset",2
"sitting well with",2
"smoking in the",2
"sntck please tweet",2
"so apparently its",2
"some cufon testing",2
"some edmundson i",2
"some sustainable changes",2
"someone to death",2
"something year old",2
"sorry for having",2
"sorry to admit",2
"spam someone to",2
"specialneeds resources and",2
"squared his elbows",2
"staffing and patient",2
"stage puppet theater",2
"standing ovation right",2
"started a blog",2
"starting with basics",2
"state in the",2
"state is attempting",2
"steps to make",2
"still crying aftr",2
"still havent seen",2
"stressed it is",2
"such as suspensions",2
